operator,draw_no,date,1st,2nd,3rd,specials,consolations
Perdana,2026010618004D,2026-01-06,4810,4402,9960,0534,1019,9693,4491,5782,2168,2351,1581,8612,7480,9754,2382,2710,9674,6156,7336,3027,4569,8909,0309

GrandDragon,3308/2026,2026-01-06,6356,3421,9040,5857,2285,3668,2701,1791,0227,1493,9436,7631,2680,4899,7419,3291,8460,9429,0765,3188,7378,2702,5136

Singapore,5427,2026-01-04,3734,7713,9590,0594,1507,1543,4423,5853,6374,6873,7811,9398,9862,0893,1749,2226,3589,4698,6464,7461,9066,9114,9270

Damacai,6016/25,2025-12-31,1120,9625,4956,4319|9089|8143|6346|1526|2468|8036|8222|6416|9668,8665|8746|6339|0137|0532|5753|1215|0189|6626|8047
Damacai,6017/26,2026-01-03,4217,2196,7003,7460|9274|5584|5478|8335|8466|3581|9835|5328|2094,7144|5279|2690|8589|0650|3999|5301|2438|3298|9494
Damacai,6018/26,2026-01-04,4157,4840,3962,2204|1305|0902|1999|8230|4438|3148|3133|5991|9441,4014|3300|8154|4213|8530|6615|5262|8753|8109|8122

Toto,6056/25,2025-12-03,3906,1351,4921,2386|1313|6641|2360|5790|7166|0239|3392|4438|9097,4665|0549|6235|4924|2331|6691|1554|8756|0036|9554
Toto,6057/25,2025-12-06,4420,1472,3887,9766|0314|9708|2734|7136|7081|0447|5141|9997|7996,6735|6282|1465|1821|3222|7185|2247|1508|7959|6425
Toto,6058/25,2025-12-07,4726,2165,5549,5754|3991|8276|3962|3966|8036|1426|7009|7392|1886,2205|4268|2251|9630|3138|8571|6373|8148|9773|8477
Toto,6059/25,2025-12-10,6412,3223,9807,5577|1280|6513|6484|9100|8561|3073|1759|7503|5856,0097|4953|3812|9074|7302|2073|3725|3666|5247|4728
Toto,6060/25,2025-12-13,4431,2955,1581,1477|9671|0401|0335|7502|6232|9624|5793|9932|9019,1083|3833|7993|7078|4457|5992|1016|9978|2767|6252
Toto,6061/25,2025-12-14,5552,9479,2332,5115|8613|5331|1434|1553|9681|5967|5127|0446|6912,1315|4567|5597|3460|0058|8884|2407|7161|1241|0470
Toto,6062/25,2025-12-17,5157,0340,5222,9584|5976|2128|6206|0876|9329|7479|0651|6648|9816,1553|5467|2967|2528|4396|9085|4878|1161|5583|5452
Toto,6063/25,2025-12-20,5602,7605,6421,2272|4226|0544|9083|8042|0367|4504|3155|7354|5439,7707|5886|5486|2213|8723|3113|5087|2715|3881|9423
Toto,6064/25,2025-12-21,1326,2538,3666,8124|8555|9409|5495|0369|7370|9082|4208|8374|0943,5162|5964|0748|6363|3924|2179|0522|4083|8005|4867
Toto,6065/25,2025-12-24,8587,9995,5913,3950|9814|5304|9101|4101|9111|7890|0465|9390|3470,2629|8331|0856|4000|3212|9584|9686|4739|6796|2912
Toto,6066/25,2025-12-27,4302,0515,7487,5088|8381|3429|0864|1682|4637|9346|2602|0052|5323,2349|0061|8646|0344|2463|6910|1742|3286|0368|6143
Toto,6067/25,2025-12-28,9587,9642,2973,5514|7472|0204|3709|7743|3749|6197|3602|5995|1936,0658|8362|0679|3550|7949|0390|6084|6627|8293|7143
Toto,6068/25,2025-12-30,6343,0885,4951,1536|4995|4680|5787|1616|3472|1861|4426|0184|2640,4021|4967|2047|4576|3058|8252|6489|9257|7829|4670
Toto,6069/25,2025-12-31,5811,6427,0974,0301|7386|2842|6102|6078|8420|5703|0221|7665|6849,1027|1938|1271|5775|4335|7589|1437|2710|9333|4177
Toto,6070/26,2026-01-03,6720,7909,1455,6718|2139|6878|9815|6054|1255|1966|1274|5320|1052,8388|4571|6383|6204|9827|5056|2452|3649|6124|0506
Toto,6071/26,2026-01-04,8461,5410,9912,9424|1050|4918|8588|3983|8896|7997|2990|2088|0402,2640|8882|1306|9346|9593|3970|5557|5664|4506|4612


